car_id,mileage,tax,mpg,engine_size,paint_quality,previous_owners,brand,model,transmission,fuel_type,year,has_damage
36019,2000.0,145.0,47.1,2.0,78.0,2,Mercedes,SL-Class,Semi-Auto,Petrol,2019,False
11486,2209.0,145.0,24.8,3.0,65.0,2,BMW,X3,Automatic,Petrol,2019,False
6232,18630.0,145.0,32.5,2.9,38.0,2,Audi,RS5,Semi-Auto,Petrol,2017,False
52983,16241.0,145.0,32.8,1.9600000000000002,89.0,0,Toyota,GT86,Semi-Auto,Petrol,2019,False
73524,22474.0,95.0,67.3,2.0,40.0,2,VW,Golf,Manual,Diesel,2016,False
65776,15437.0,145.0,45.6,1.0,68.0,3,VW,Golf,Automatic,,2019,False
48627,21356.0,145.0,49.6,2.0,58.0,4,Skoda,Kodiaq,Automatic,Diesel,2018,False
26955,58873.0,125.0,60.1,1.6,90.0,2,Ford,Grand C-Max,Manual,Diesel,2013,False
45305,2086.0,145.0,44.1,1.5,72.0,2,Mercedes,C-Class,Semi-Auto,Petrol,2019,False
8952,31095.0,95.0,83.1,1.5,49.0,1,BMW,1 Series,Manual,Diesel,2016,False
31711,8093.0,150.0,54.3,1.0,51.0,2,Hyundai,Kona,Manual,Petrol,2018,False
10129,25818.0,125.0,60.1,2.0,54.0,4,BMW,X1,Manual,Diesel,2017,False
42289,38395.0,142.75,59.517500000000005,2.1,51.0,0,Mercedes,C-Class,Semi-Auto,Diesel,2016,False
15869,9521.0,145.0,54.3,1.2,71.0,1,Ford,Fiesta,Manual,Petrol,2017,False
22955,7450.0,150.0,64.2,1.1,77.0,3,Ford,Fiesta,Manual,Petrol,2017,False
30802,3357.0,145.0,42.2,2.0,33.0,2,Ford,Kuga,Semi-Auto,Diesel,2019,False
775,28522.0,95.0,61.4,2.0,35.0,0,Audi,A3,Semi-Auto,Diesel,2017,False
20808,40155.0,95.0,60.1,1.0,36.0,0,Ford,Focus,Manual,Petrol,2014,False
72367,4673.0,145.0,47.9,1.0,91.0,2,VW,T-Crossland,Manual,Petrol,2023,False
24137,35000.0,145.0,47.1,1.4,46.0,4,Ford,B-Max,Manual,Petrol,2013,False
57104,69941.0,125.0,51.4,1.4,50.0,1,Opel,Corsa,Manual,Petrol,2013,False
10181,60000.0,150.0,54.3,2.0,69.0,1,BMW,X3,Semi-Auto,Diesel,2017,False
58458,22623.0,175.0,55.4,1.4,58.0,2,Opel,Corsa,Manual,Petrol,2017,False
23028,27930.0,175.0,39.8,1.8,73.0,2,Ford,C-Max,Manual,Petrol,2008,False
12682,22248.0,150.0,64.2,2.0,98.0,3,BMW,3 Series,Automatic,Diesel,2017,False
39901,12158.0,145.0,65.7,1.5,58.0,2,Mercedes,A-Class,Semi-Auto,,2018,False
62727,15412.0,145.0,55.4,1.4,36.0,2,Opel,Corsa,Manual,Petrol,2018,False
28714,50000.0,95.0,61.4,1.6,55.0,3,Ford,C-Max,Manual,Diesel,2013,False
55822,15246.0,145.0,55.4,1.4,58.0,1,Opel,Corsa,Manual,Petrol,2017,False
24210,18755.0,95.0,74.4,1.5,92.0,1,Ford,B-Max,,Diesel,2016,False
45847,14161.0,145.0,67.3,2.1,75.0,3,Mercedes,C-Class,Automatic,Diesel,2017,False
73912,52066.0,175.0,47.7,2.0,34.0,1,VW,Tiguan,Semi-Auto,Diesel,2015,False
68279,3526.0,145.0,47.9,1.0,57.0,3,VW,T-Crossland,Manual,Petrol,2019,False
9934,41237.0,95.0,87.55,1.5,94.0,1,BMW,I8,Automatic,Hybrid,2014,False
18245,13818.85,145.0,58.9,1.0,60.0,4,Ford,Fiesta,Manual,Petrol,2019,False
26707,16611.0,127.75,59.67249999999999,1.0,50.0,1,Ford,Focus,Manual,Petrol,2019,False
18948,37560.0,145.0,53.3,1.0,96.0,1,Ford,EcoSport,Manual,Petrol,2017,False
60308,13370.0,150.0,55.4,1.4,40.0,4,Opel,Corsa,Manual,Petrol,2017,False
1380,2550.0,145.0,42.8,2.0,80.0,4,Audi,Q3,,Diesel,2019,False
62553,69941.0,95.0,55.4,1.4,85.0,2,Opel,,Manual,Petrol,2015,False
52478,48315.0,95.0,72.4,1.8,70.0,4,Toyota,Auris,Automatic,Hybrid,2016,False
18466,14642.1,139.75,58.1025,1.5,74.0,1,Ford,Focus,Manual,Petrol,2017,False
733,35329.0,150.0,47.9,2.0,54.0,0,Audi,A3,Semi-Auto,Petrol,2017,False
57771,18294.0,145.0,55.4,1.4,70.0,2,Opel,Corsa,Manual,Petrol,2017,False
66402,30051.0,145.0,68.9,2.0,98.0,4,VW,Passat,Manual,Diesel,2017,False
74872,12540.0,150.0,39.8,1.5,65.0,0,VW,T-Roc,Automatic,Petrol,2019,False
54336,27232.0,125.0,60.1,2.0,51.0,2,Toyota,RAV4,Manual,Diesel,2016,False
67189,3500.0,145.0,57.7,1.6,49.0,4,VW,Golf,Manual,Diesel,2019,False
65871,46246.0,95.0,67.3,2.0,55.0,4,VW,Golf,Manual,Diesel,2016,False
51975,31245.0,95.0,69.0,1.0,49.0,0,Toyota,AYGO,Manual,Petrol,2016,False
72530,7729.0,145.0,54.3,0.1864248827577972,45.0,0,VW,Golf SV,,Petrol,2018,False
15378,14130.0,137.75,58.355,1.5,84.0,0,Ford,Focus,Manual,Diesel,2018,False
64987,35400.0,125.0,51.4,1.4,59.0,4,Opel,Corsa,Manual,Petrol,2015,False
33591,9493.0,145.0,45.6,1.6,45.0,1,Hyundai,Tucson,Manual,Diesel,2019,False
64381,20390.0,145.0,47.1,1.4,55.0,1,Opel,,Manual,Petrol,2017,False
15291,42792.0,95.0,70.6,2.0,46.0,4,Ford,Focus,Manual,Diesel,2016,False
43035,2532.0,145.0,36.7,2.0,58.0,1,Mercedes,GLE-Class,Semi-Auto,Diesel,2019,False
40443,21634.0,125.0,56.5,1.53,70.0,4,Mercedes,GLA-Class,Semi-Auto,Diesel,2016,False
44972,8023.0,145.0,29.7,3.0,55.0,0,Mercedes,C-Class,Semi-Auto,Petrol,2019,False
22282,69941.0,132.75,52.919999999999995,1.815,49.0,4,Ford,Focus,Manual,Diesel,2016,False
52982,29399.0,145.0,58.9,1.5,46.0,2,Toyota,Yaris,Manual,Petrol,2017,False
9068,3934.0,145.0,54.3,2.0,91.0,3,BMW,X3,Semi-Auto,Diesel,2019,False
10713,8765.0,145.0,41.5,2.0,74.0,1,BMW,3 Series,Semi-Auto,Petrol,2019,False
20054,28414.0,132.75,51.9309489544067,1.5,82.0,3,Ford,Focus,Manual,Diesel,2017,False
45801,10104.0,134.25,58.125,3.0,93.0,1,Mercedes,C-Class,Semi-Auto,Petrol,2019,False
47640,11022.0,145.0,21.549999999999997,2.0,96.0,4,Skoda,Karoq,Manual,Diesel,2018,False
22538,15071.0,145.0,74.3,1.5,99.0,3,Ford,Focus,Manual,Diesel,2018,False
22508,48085.0,95.0,57.7,1.2,95.0,2,Ford,Ka,Manual,Petrol,2015,False
30509,8598.0,148.25,54.13249999999999,1.5,48.0,0,Ford,Focus,Automatic,Petrol,2016,False
29659,18980.0,95.0,65.7,1.0,63.0,3,Ford,Fiesta,Manual,Petrol,2014,False
35116,54230.0,131.0,56.875000000000014,2.1,64.0,1,Mercedes,C-Class,Semi-Auto,Diesel,2014,False
15259,9775.0,145.0,41.5,2.0,46.0,2,Ford,Focus,Manual,Petrol,2018,False
21721,5120.0,150.0,56.5,1.0,86.0,4,Ford,Fiesta,Manual,Petrol,2019,False
65319,14994.0,145.0,55.4,1.4,92.0,2,Opel,Corsa,Manual,Petrol,2017,False
75203,26500.0,95.0,74.3,1.6,54.0,2,VW,Golf,Manual,Diesel,2016,0
74771,62432.0,125.0,51.4,1.2,58.0,4,VW,Polo,Manual,Petrol,2012,False
48511,25480.0,95.0,60.1,1.2,95.0,0,Skoda,Fabia,Automatic,Petrol,2017,False
57842,18400.0,175.0,43.5,1.6,38.0,1,Opel,Astra,Manual,Petrol,2016,False
55655,24023.0,95.0,78.5,1.8,39.0,2,Toyota,Auris,Automatic,Hybrid,2016,False
15481,18534.0,125.0,54.3,1.2,81.0,0,Ford,Fiesta,Manual,Petrol,2015,False
62906,26582.0,95.0,57.6,1.0,85.0,0,Opel,Corsa,Manual,Petrol,2015,False
50088,10525.0,145.0,64.2,1.0,72.0,2,Skoda,Citigo,Manual,Petrol,2018,False
29949,10094.0,145.0,57.7,1.2,71.0,4,Ford,Ka+,Manual,Petrol,2017,False
20890,23624.0,145.0,87.55,1.0,69.0,0,Ford,Fiesta,Automatic,Petrol,2018,False
52693,58000.0,95.0,58.0,1.3,78.0,0,Toyota,Yaris,Manual,Petrol,2017,False
17001,19896.0,145.0,56.5,2.6312004729689877,37.0,1,Ford,S-Max,Manual,Diesel,2018,False
12785,7776.0,150.0,48.7,3.0,62.0,3,BMW,X3,Semi-Auto,Diesel,2019,False
44841,34278.0,95.0,62.8,2.1,79.0,1,Mercedes,C-Class,Automatic,Diesel,2015,False
19460,13507.0,95.0,68.9,1.5,41.0,0,Ford,C-Max,Manual,Diesel,2016,False
23602,6000.0,95.0,74.3,1.5,83.0,2,Ford,Focus,Manual,Diesel,2016,False
15894,4520.0,125.0,54.3,1.56,89.0,2,Ford,Fiesta,Manual,Petrol,2016,False
65217,23290.0,137.0,52.3,1.2,66.0,3,Opel,Corsa,Manual,Petrol,2015,False
8652,1501.0,145.0,42.2,1.5,30.0,4,BMW,2 Series,Semi-Auto,Petrol,2020,False
74338,9300.0,145.0,50.4,2.0,92.0,4,VW,Golf SV,,Diesel,2019,False
5077,15412.0,150.0,47.9,1.4,69.9,1,Audi,Q3,Semi-Auto,Petrol,2018,False
31597,5060.0,125.0,57.6,1.7,67.0,3,Hyundai,Tucson,Semi-Auto,Diesel,2017,False
51767,69941.0,175.0,35.3,1.6,60.0,3,Toyota,Corolla,Automatic,Petrol,2001,False
58569,16177.0,95.0,62.8,1.0,52.0,3,Opel,Viva,Manual,Petrol,2019,False
36213,60619.0,132.0,55.50500000000001,2.0,61.0,2,Mercedes,C-Class,Automatic,Hybrid,2016,False
43571,25696.0,165.0,52.3,3.0,55.0,1,Mercedes,CLS-Class,Semi-Auto,Diesel,2019,0
21120,32750.0,125.0,56.5,2.0,45.0,1,Ford,Galaxy,Manual,Diesel,2017,False
63776,4000.0,150.0,47.9,1.4,69.0,3,Opel,Corsa,Automatic,Petrol,2017,False
58139,46340.0,150.0,47.1,1.4,96.0,0,Opel,Mokka X,Manual,Petrol,2016,0
5696,41000.0,95.0,67.3,2.0,75.0,0,Audi,A4,Automatic,Diesel,2016,False
40104,13500.0,134.0,54.44000000000001,3.0,45.0,2,Mercedes,C-Class,Automatic,Petrol,2018,False
26679,17554.0,145.0,57.7,1.2,44.0,0,Ford,Ka+,Manual,Petrol,2018,False
35665,21305.0,175.0,34.0,3.0,85.0,1,Mercedes,GLC-Class,Semi-Auto,Petrol,2011,False
62698,6431.0,145.0,39.2,1.4,3.1726830595677384,0,Opel,Mokka X,Manual,Petrol,2019,False
7141,32868.0,95.0,67.3,2.0,66.0,3,Audi,A4,,Diesel,2016,False
44462,10342.0,145.0,53.3,0.3070739443691206,93.0,1,Mercedes,A-Class,Semi-Auto,Petrol,2019,False
47675,17595.0,145.0,67.3,2.0,99.0,3,Skoda,Octavia,Semi-Auto,Diesel,2018,False
54752,3000.0,145.0,39.2,1.2,33.0,1,Toyota,Corolla,Manual,Petrol,2020,False
2608,21625.45,95.0,72.4,1.6,45.0,3,Audi,A1,Manual,Diesel,2017,False
648,27079.0,95.0,55.4,1.4,40.0,0,Audi,A1,Manual,Petrol,2017,False
41503,13763.0,125.0,56.5,2.1,40.0,2,Mercedes,GLA-Class,Automatic,Diesel,2016,False
47503,69941.0,145.0,55.4,1.5,37.0,4,Skoda,Octavia,,Petrol,2019,False
1739,16855.0,145.0,70.6,1.4,83.0,1,Audi,A1,Automatic,Petrol,2017,False
52749,24566.0,150.0,47.9,1.5,47.0,4,Toyota,Yaris,Manual,Petrol,2019,False
2100,4680.0,145.0,52.3,1.6,84.0,2,Audi,A3,Automatic,Diesel,2019,False
38301,17261.0,160.0,43.5,2.0,53.0,4,Mercedes,SL-Class,Manual,Petrol,2017,False
16466,6992.0,131.5,53.79,1.0,89.0,1,Ford,Focus,Manual,Petrol,2019,False
54955,13608.0,145.0,69.0,1.0,97.0,0,Toyota,,Manual,Petrol,2018,False
46414,62498.0,132.75,55.42547447720335,2.1,40.0,4,Mercedes,C-Class,Automatic,Diesel,2017,False
51311,9081.0,145.0,47.9,1.5,35.0,1,Toyota,Yaris,Manual,Petrol,2019,False
66349,14841.0,145.0,60.1,1.2,80.0,4,VW,Polo,Semi-Auto,Petrol,2017,False
50593,1500.0,145.0,61.4,1.0,59.0,3,Skoda,Fabia,Manual,Petrol,2019,False
71026,28896.0,145.0,58.9,1.0,76.0,3,VW,Polo,Manual,Petrol,2017,False
2216,56136.0,125.0,61.4,2.0,77.0,3,Audi,A3,Semi-Auto,Diesel,2016,False
75873,21121.0,125.0,50.4,1.4,63.6,4,VW,Golf SV,Manual,Petrol,2017,False
45241,1005.0,145.0,57.7,2.0,67.0,3,Mercedes,E-Class,Automatic,Diesel,2019,False
55404,41700.0,95.0,69.0,1.0,65.0,0,Toyota,AYGO,Manual,Petrol,2015,False
56738,17350.0,146.0,47.9,1.4,66.0,4,Opel,Adam,Manual,Petrol,2017,False
28679,23881.0,95.0,60.1,1.0,62.0,3,Ford,Focus,Manual,Petrol,2019,False
72414,21194.0,145.0,47.1,2.0,56.0,0,VW,Arteon,Semi-Auto,Petrol,2018,False
71053,10.0,145.0,55.4,1.6,44.0,2,VW,Golf,Manual,Diesel,2019,False
31213,7100.0,145.0,65.7,1.0,33.0,2,Ford,Fiesta,Unknown,Petrol,2018,False
45495,7317.0,132.25,59.025,1.5,37.0,0,Mercedes,C-Class,Automatic,Petrol,2018,False
59211,16000.0,145.0,55.4,1.4,95.0,4,Opel,Corsa,Manual,Petrol,2018,False
33004,3297.0,135.0,78.5,1.6,85.0,4,Hyundai,Ioniq,Automatic,Hybrid,2018,False
32446,13692.0,145.0,56.5,1.0,73.0,2,Hyundai,i30,Manual,Petrol,2017,False
29870,3000.0,145.0,74.3,1.5,32.0,0,Ford,Focus,Unknown,Diesel,2019,False
45698,10094.0,145.0,44.8,2.0,90.0,4,Mercedes,GLC-Class,Automatic,Diesel,2019,False
43077,5932.0,145.0,58.9,2.0,96.0,1,Mercedes,E-Class,Semi-Auto,Diesel,2019,False
54776,2034.0,140.0,78.5,1.8,94.0,0,Toyota,Corolla,Automatic,Hybrid,2019,False
68926,20100.0,150.0,87.55,1.4,97.0,3,VW,Golf,Manual,Petrol,2017,False
20985,19131.0,125.0,54.3,1.2,100.0,2,Ford,Fiesta,Manual,Petrol,2016,False
55159,21145.0,95.0,68.9,1.0,88.0,1,Toyota,AYGO,Manual,Petrol,2017,False
54825,19231.0,95.0,66.725,1.0,97.0,2,Toyota,AYGO,Manual,Petrol,2015,False
60491,17000.0,125.0,53.3,1.2,57.0,3,Opel,Adam,Manual,Petrol,2014,False
24937,9845.0,139.75,50.31547447720335,1.0,58.0,3,Ford,Focus,Manual,Petrol,2019,False
4177,8251.0,150.0,50.4,2.0,80.0,4,Audi,A3,Semi-Auto,Diesel,2019,False
23259,29165.0,95.0,65.7,1.0,92.0,2,Ford,Fiesta,Manual,Petrol,2015,False
19795,48622.0,95.0,54.3,1.2,73.0,1,Ford,Fiesta,Manual,Petrol,2013,False
41193,2396.0,135.0,87.55,2.0,80.0,2,Mercedes,E-Class,Semi-Auto,Hybrid,2019,False
63166,29806.0,151.5,39.2,1.4,64.0,1,Opel,Mokka X,Unknown,Petrol,2018,False
43192,54000.0,144.5,55.205000000000005,1.6,67.0,0,Mercedes,C-Class,Unknown,Petrol,2009,False
47996,69941.0,150.0,42.2,1.5,91.0,2,Skoda,Superb,Manual,Petrol,2019,False
5113,25369.1,145.0,39.8,1.5,94.0,1,Audi,Q3,Manual,Petrol,2019,False
17835,39772.0,138.0,54.14047447720335,2.0,35.0,3,Ford,Focus,Manual,Diesel,2015,False
26240,4988.0,145.0,43.5,2.0,54.0,0,Ford,S-Max,Semi-Auto,Diesel,2019,False
11647,27395.0,145.0,60.1,2.0,80.0,1,BMW,5 Series,Semi-Auto,Diesel,2017,False
49667,23689.0,145.0,44.8,1.4,65.0,3,Skoda,Kodiaq,Automatic,Petrol,2018,False
52608,3934.0,145.0,32.8,2.0,96.0,2,Toyota,GT86,Unknown,Petrol,2019,False
4048,4000.0,145.0,39.8,1.5,56.0,1,Audi,Q3,Manual,Petrol,2019,False
67082,42000.0,95.0,68.9,2.0,58.0,2,VW,Golf,Manual,Diesel,2016,False
26510,7100.0,145.0,60.1,1.0,93.0,4,Ford,Focus,Manual,Petrol,2019,False
69869,21438.0,95.0,58.9,1.0,34.0,2,VW,Polo,Manual,Petrol,2016,False
57136,7124.0,145.0,55.4,1.2,49.0,4,Opel,Grandland X,Manual,Petrol,2018,False
32971,58000.0,119.5,76.3,1.6,43.0,0,Hyundai,i30,Manual,Diesel,2013,False
64929,51985.0,95.0,76.3,2.0,54.0,1,Opel,Insignia,Manual,Diesel,2015,False
49477,15750.0,145.0,60.1,1.2,30.0,4,Skoda,Fabia,Manual,Petrol,2017,False
13558,50318.0,95.0,67.3,2.0,56.0,4,BMW,3 Series,Automatic,Diesel,2016,False
12491,24592.0,95.0,68.9,2.0,69.0,4,BMW,1 Series,Automatic,Diesel,2016,False
16822,15060.0,125.0,54.3,1.2,33.0,0,Ford,Fiesta,Manual,Petrol,2017,False
204,4000.0,145.0,42.8,2.0,52.0,0,Audi,Q3,Manual,Diesel,2019,False
2551,9141.0,95.0,64.2,2.0,36.0,1,Audi,A5,Manual,Diesel,2016,False
30638,22058.0,145.0,57.7,1.0,45.0,1,Ford,Focus,Manual,Petrol,2023,False
15801,66990.0,95.0,74.3,1.5,35.0,1,Ford,Focus,Manual,,2023,False
781,3833.0,145.0,51.4,1.6,47.0,0,Audi,,Manual,Diesel,2019,False
57927,5305.0,145.0,55.4,1.4,88.0,0,Opel,Corsa,Manual,Petrol,2018,False
34517,16709.0,145.0,60.1,1.0,51.0,3,Hyundai,i10,Manual,Petrol,2022,False
48386,24064.25,95.0,70.6,2.0,61.0,4,Skoda,Octavia,Manual,Diesel,2015,False
54356,6043.0,145.0,47.9,1.5,70.0,0,Toyota,Yaris,Manual,Petrol,2019,False
2895,2423.0,145.0,33.6,3.0,56.0,3,Audi,Q8,Semi-Auto,Diesel,2019,0
40801,7698.0,150.0,42.8,3.0,78.0,1,Mercedes,GLE-Class,Automatic,Diesel,2017,False
61422,48.0,175.0,72.4,1.6,86.0,1,Opel,Astra,Manual,Diesel,2019,False
30295,32746.0,138.25,55.645,1.5,75.0,0,Ford,Focus,Manual,Diesel,2017,False
36631,31371.0,95.0,65.7,2.1,41.0,4,Mercedes,C-Class,Automatic,Diesel,2017,False
67100,31375.0,95.0,67.3,2.0,84.0,0,VW,Golf,Manual,Diesel,2016,False
68820,12581.0,145.0,31.0,2.0,39.0,4,VW,Tiguan,Semi-Auto,Petrol,2019,False
75667,69941.0,95.0,67.3,2.0,30.0,3,VW,Passat,,Diesel,2015,False
15141,16282.0,145.0,41.5,2.0,98.0,2,Ford,Focus,Manual,Petrol,2017,False
5893,5000.0,145.0,34.9,2.0,88.0,0,Audi,A6,Semi-Auto,Petrol,2019,0
60453,34997.0,175.0,40.9,1.6,33.0,2,Opel,Mokka,Manual,Petrol,2015,False
48311,3653.0,150.0,50.4,1.7349999999999999,61.0,0,Skoda,Scala,Manual,Petrol,2019,False
43361,18683.0,145.0,68.9,1.5,49.0,2,Mercedes,B-Class,Manual,Diesel,2017,False
44257,19993.5,129.0,54.28499999999999,2.0,42.0,0,Mercedes,C-Class,Semi-Auto,Diesel,2019,False
38319,58654.0,160.0,52.3,2.1,61.0,4,Mercedes,C-Class,Manual,Diesel,2013,0
2886,25737.0,125.0,51.4,1.4,45.0,1,Audi,Q3,Manual,Petrol,2017,False
17211,15305.0,145.0,62.8,2.0,86.0,2,Ford,Focus,Manual,Diesel,2019,False
21237,9488.0,138.5,56.48797447720334,2.3,94.0,3,Ford,Focus,Manual,Petrol,2019,0
7262,16540.0,150.0,34.0,3.0,53.0,2,Audi,Q5,Semi-Auto,Petrol,2017,False
62824,11803.0,145.0,43.5,1.4,61.0,0,Opel,Mokka X,Semi-Auto,,2018,False
15142,36384.0,160.0,43.5,1.5,36.0,0,Ford,S-Max,Manual,Petrol,2017,False
25191,1010.0,145.0,80.7,1.5,37.0,0,Ford,Focus,Manual,Diesel,2019,False
41904,31942.0,132.0,57.28000000000001,2.0,87.0,1,Mercedes,C-Class,Automatic,Petrol,2019,False
13815,10.0,150.0,37.7,3.0,96.0,4,BMW,X5,Semi-Auto,Diesel,2019,False
37083,40961.0,125.0,60.1,2.1,83.0,1,Mercedes,C-Class,Automatic,Diesel,2015,False
6230,20832.0,150.0,47.1,2.0,3.11529529741442,0,Audi,A5,Manual,Petrol,2018,False
73500,42339.0,95.0,68.9,1.6,48.0,3,VW,Golf,Manual,Diesel,2014,False
16901,19760.4,95.0,65.7,1.0,99.0,1,Ford,Fiesta,Manual,Petrol,2016,0
22420,69941.0,95.0,54.3,1.2,49.0,2,Ford,Fiesta,Manual,Petrol,2013,False
70990,50584.0,95.0,67.3,2.9857934392613865,80.0,1,VW,Golf,Manual,Diesel,2015,False
53079,6880.0,95.0,86.0,1.5,65.0,0,Toyota,Yaris,Automatic,Hybrid,2016,False
25876,38389.0,145.0,61.4,1.0,60.0,4,Ford,Focus,Manual,Petrol,2017,False
71493,42551.0,95.0,74.3,1.6,94.0,4,VW,Golf,Manual,Diesel,2017,False
68929,9227.0,145.0,53.3,2.0,79.0,1,VW,Golf,Automatic,Diesel,2019,False
26282,17998.0,136.75,53.99047447720335,1.0,51.0,3,Ford,Focus,Manual,Petrol,2019,False
14309,123.0,145.0,52.3,1.5,85.0,0,BMW,2 Series,Manual,Petrol,2019,False
71825,54400.0,95.0,64.2,1.6,40.0,4,VW,Touran,Manual,Diesel,2016,False
15015,10998.0,145.0,60.1,1.0,56.0,2,Ford,Focus,Manual,Petrol,2019,False
48246,32379.0,95.0,67.3,2.0,87.0,4,Skoda,Superb,Manual,Diesel,2017,False
21384,3735.0,145.0,48.7,1.0,69.0,0,Ford,Focus,Manual,Petrol,2019,False
54651,6677.0,150.0,56.5,1.35,95.0,2,Toyota,Yaris,Manual,Petrol,2017,False
28240,30900.0,95.0,65.7,1.0,86.0,4,Ford,Fiesta,Manual,Petrol,2016,False
15539,42956.0,95.0,60.1,1.0,40.0,3,Ford,Focus,Manual,Petrol,2017,False
47984,6460.0,150.0,54.3,1.5,66.0,4,Skoda,Octavia,Semi-Auto,Petrol,2018,False
38808,49695.0,95.0,70.6,1.5,70.0,3,Mercedes,A-Class,Manual,Diesel,2015,False
1374,30595.0,95.0,70.6,2.0,40.0,4,Audi,A4,Manual,Diesel,2016,False
9505,69941.0,145.0,53.3,2.0,31.0,0,BMW,3 Series,Automatic,Diesel,2010,False
49390,4500.0,145.0,64.2,2.0,44.0,3,Skoda,Octavia,Semi-Auto,Diesel,2019,False
74328,8481.0,150.0,54.3,2.0,42.0,2,VW,Caddy Maxi Life,Semi-Auto,Diesel,2019,False
57496,8968.0,145.0,43.5,1.4,83.0,2,Opel,Corsa,Manual,Petrol,2019,False
6935,16380.0,145.0,67.3,1.6,68.0,2,Audi,A3,Manual,Diesel,2018,False
36371,5927.0,145.0,44.1,2.0,78.0,0,Mercedes,C-Class,Semi-Auto,Petrol,2019,False
29187,11134.0,140.5,55.3,2.0,52.0,0,Ford,Focus,Manual,Diesel,2017,False
21441,7239.0,150.0,64.2,1.5,67.0,1,Ford,Kuga,Manual,Diesel,2018,False
2237,47614.0,175.0,48.7,2.0,95.0,0,Audi,Q5,Automatic,Diesel,2016,False
55338,11619.0,145.0,30.1,2.8,75.0,1,Toyota,Land Cruiser,Semi-Auto,Diesel,2019,False
54522,28110.0,95.0,86.0,1.5,55.0,4,Toyota,Yaris,Automatic,Hybrid,2016,False
9165,1560.0,150.0,48.7,2.0,88.0,0,BMW,1 Series,Semi-Auto,Diesel,2020,False
33145,14062.0,145.0,60.1,1.0,84.0,3,Hyundai,i10,Manual,Petrol,2018,False
257,21400.0,145.0,34.0,3.0,59.0,1,Audi,Q5,Semi-Auto,Petrol,2019,False
31218,10150.0,129.5,57.77500000000001,1.0,40.0,2,Ford,Focus,Manual,Petrol,2018,False
6122,21442.35,145.0,38.2,2.0,59.0,4,Audi,Q5,Semi-Auto,Diesel,2019,0
54205,2865.0,145.0,57.7,1.67,67.0,1,Toyota,AYGO,Manual,Petrol,2019,False
