car_id,brand,model,year,transmission,mileage,fuel_type,tax,mpg,engine_size,paint_quality,previous_owners,has_damage
19460,Ford,C-Max,2016,Manual,13507.0,Diesel,95.0,68.9,1.5,41.0,0,False
23602,Ford,Focus,2016,Manual,6000.0,Diesel,95.0,74.3,1.5,83.0,2,False
15894,Ford,Fiesta,2016,Manual,4520.0,Petrol,125.0,54.3,,89.0,2,False
65217,Opel,Corsa,2015,Manual,23290.0,Petrol,,52.3,1.2,66.0,3,False
8652,BMW,2 Series,2020,Semi-Auto,1501.0,Petrol,145.0,42.2,1.5,30.0,4,False
74338,VW,Golf SV,2019,,9300.0,Diesel,145.0,50.4,2.0,92.0,4,False
5077,Audi,Q3,2018,Semi-Auto,15412.0,Petrol,150.0,47.9,1.4,,1,False
31597,Hyundai,Tucson,2017,Semi-Auto,5060.0,Diesel,125.0,57.6,1.7,67.0,3,False
51767,Toyota,Corolla,2001,Automatic,69941.0,Petrol,175.0,35.3,1.6,60.0,3,False
58569,Opel,Viva,0,Manual,16177.0,Petrol,95.0,62.8,1.0,52.0,3,False
36213,Mercedes,C-Class,2016,Automatic,60619.0,Hybrid,,,2.0,61.0,2,False
43571,Mercedes,CLS-Class,0,Semi-Auto,25696.0,Diesel,165.0,52.3,3.0,55.0,1,True
21120,Ford,Galaxy,2017,Manual,32750.0,Diesel,125.0,56.5,2.0,45.0,1,False
63776,Opel,Corsa,2017,Automatic,4000.0,Petrol,150.0,47.9,1.4,69.0,3,False
58139,Opel,Mokka X,2016,Manual,46340.0,Petrol,150.0,47.1,1.4,96.0,0,True
5696,Audi,A4,2016,Automatic,41000.0,Diesel,95.0,67.3,2.0,75.0,0,False
40104,,C-Class,2018,Automatic,13500.0,Petrol,,,3.0,45.0,2,False
26679,Ford,Ka+,2018,Manual,17554.0,Petrol,145.0,57.7,1.2,44.0,0,False
35665,Mercedes,GLC-Class,2011,Semi-Auto,21305.0,Petrol,175.0,34.0,3.0,85.0,1,False
62698,Opel,Mokka X,2019,Manual,6431.0,Petrol,145.0,39.2,1.4,3.1726830595677384,0,False
7141,Audi,A4,2016,,32868.0,Diesel,95.0,67.3,2.0,66.0,3,False
44462,Mercedes,A-Class,2019,Semi-Auto,10342.0,Petrol,145.0,53.3,0.3070739443691206,93.0,1,False
47675,Skoda,Octavia,2018,Semi-Auto,17595.0,Diesel,145.0,67.3,2.0,99.0,3,False
54752,Toyota,Corolla,2020,Manual,3000.0,Petrol,145.0,39.2,1.2,33.0,1,False
2608,Audi,A1,2017,Manual,,Diesel,95.0,72.4,1.6,45.0,3,False
648,Audi,A1,2017,Manual,27079.0,Petrol,95.0,55.4,1.4,40.0,0,False
41503,Mercedes,GLA-Class,2016,Automatic,13763.0,Diesel,125.0,56.5,2.1,40.0,2,False
47503,Skoda,Octavia,2019,,69941.0,Petrol,145.0,55.4,1.5,37.0,4,False
1739,Audi,A1,2017,Automatic,16855.0,Petrol,145.0,70.6,1.4,83.0,1,False
52749,Toyota,Yaris,2019,Manual,24566.0,Petrol,150.0,47.9,1.5,47.0,4,False
2100,Audi,A3,2019,Automatic,4680.0,Diesel,145.0,52.3,1.6,84.0,2,False
38301,Mercedes,SL-Class,2017,Manual,17261.0,Petrol,160.0,43.5,2.0,53.0,4,False
16466,Ford,Focus,2019,Manual,6992.0,Petrol,,,1.0,89.0,1,False
54955,Toyota,,2018,Manual,13608.0,Petrol,145.0,69.0,1.0,97.0,0,False
46414,Mercedes,C-Class,2017,Automatic,62498.0,Diesel,,,2.1,40.0,4,False
51311,Toyota,Yaris,2019,Manual,9081.0,Petrol,145.0,47.9,1.5,35.0,1,False
66349,VW,Polo,2017,Semi-Auto,14841.0,Petrol,145.0,60.1,1.2,80.0,4,False
50593,Skoda,Fabia,2019,Manual,1500.0,Petrol,145.0,61.4,1.0,59.0,3,False
71026,VW,Polo,2017,Manual,28896.0,Petrol,145.0,58.9,1.0,76.0,3,False
2216,Audi,A3,2016,Semi-Auto,56136.0,Diesel,125.0,61.4,2.0,77.0,3,False
75873,VW,Golf SV,2017,Manual,21121.0,Petrol,125.0,50.4,1.4,,4,False
45241,Mercedes,E-Class,2019,Automatic,1005.0,Diesel,145.0,57.7,2.0,67.0,3,False
55404,Toyota,AYGO,2015,Manual,41700.0,Petrol,95.0,69.0,1.0,65.0,0,False
56738,Opel,Adam,2017,Manual,17350.0,Petrol,,47.9,1.4,66.0,4,False
28679,Ford,Focus,0,Manual,23881.0,Petrol,95.0,60.1,1.0,62.0,3,False
72414,VW,Arteon,2018,Semi-Auto,21194.0,Petrol,145.0,47.1,2.0,56.0,0,False
71053,VW,Golf,2019,Manual,10.0,Diesel,145.0,55.4,1.6,44.0,2,False
31213,Ford,Fiesta,2018,Unknown,7100.0,Petrol,145.0,65.7,1.0,33.0,2,False
45495,Mercedes,C-Class,2018,Automatic,7317.0,Petrol,,,1.5,37.0,0,False
59211,Opel,Corsa,2018,Manual,16000.0,Petrol,145.0,55.4,1.4,95.0,4,False
33004,Hyundai,Ioniq,2018,Automatic,3297.0,Hybrid,135.0,78.5,1.6,85.0,4,False
32446,Hyundai,i30,2017,Manual,13692.0,Petrol,145.0,56.5,1.0,73.0,2,False
29870,Ford,Focus,0,Unknown,3000.0,Diesel,145.0,74.3,1.5,32.0,0,False
45698,Mercedes,GLC-Class,2019,Automatic,10094.0,Diesel,145.0,44.8,2.0,90.0,4,False
43077,Mercedes,E-Class,2019,Semi-Auto,5932.0,Diesel,145.0,58.9,2.0,96.0,1,False
54776,Toyota,Corolla,2019,Automatic,2034.0,Hybrid,140.0,78.5,1.8,94.0,0,False
68926,VW,Golf,2017,Manual,20100.0,Petrol,150.0,87.55,1.4,97.0,3,False
20985,Ford,Fiesta,2016,Manual,19131.0,Petrol,125.0,54.3,1.2,100.0,2,False
55159,Toyota,AYGO,2017,Manual,21145.0,Petrol,95.0,68.9,1.0,88.0,1,False
54825,Toyota,AYGO,2015,Manual,19231.0,Petrol,95.0,,1.0,97.0,20,False
60491,Opel,Adam,2014,Manual,17000.0,Petrol,125.0,53.3,1.2,57.0,3,False
24937,Ford,Focus,2019,Manual,9845.0,Petrol,,,1.0,58.0,3,False
4177,Audi,A3,2019,Semi-Auto,8251.0,Diesel,150.0,50.4,2.0,80.0,4,False
23259,Ford,Fiesta,2015,Manual,29165.0,Petrol,95.0,65.7,1.0,92.0,2,False
19795,Ford,Fiesta,2013,Manual,48622.0,Petrol,95.0,54.3,1.2,73.0,1,False
41193,Mercedes,E-Class,2019,Semi-Auto,2396.0,Hybrid,135.0,87.55,2.0,80.0,2,False
63166,Opel,Mokka X,2018,Unknown,29806.0,Petrol,,39.2,1.4,64.0,1,False
43192,Mercedes,C-Class,2009,Unknown,54000.0,Petrol,,,1.6,67.0,0,False
47996,Skoda,Superb,2019,Manual,69941.0,Petrol,150.0,42.2,1.5,91.0,2,False
5113,Audi,Q3,2019,Manual,,Petrol,145.0,39.8,1.5,94.0,1,False
17835,Ford,Focus,2015,Manual,39772.0,Diesel,,,2.0,35.0,3,False
26240,Ford,S-Max,2019,Semi-Auto,4988.0,Diesel,145.0,43.5,2.0,54.0,0,False
11647,BMW,5 Series,2017,Semi-Auto,27395.0,Diesel,145.0,60.1,2.0,80.0,20,False
49667,Skoda,Kodiaq,2018,Automatic,23689.0,Petrol,145.0,44.8,1.4,65.0,3,False
52608,Toyota,GT86,2019,Unknown,3934.0,Petrol,145.0,32.8,2.0,96.0,2,False
4048,Audi,Q3,2019,Manual,4000.0,Petrol,145.0,39.8,1.5,56.0,1,False
67082,VW,Golf,2016,Manual,42000.0,Diesel,95.0,68.9,2.0,58.0,2,False
26510,Ford,Focus,2019,Manual,7100.0,Petrol,145.0,60.1,1.0,93.0,4,False
69869,VW,Polo,2016,Manual,21438.0,Petrol,95.0,58.9,1.0,34.0,2,False
57136,Opel,Grandland X,2018,Manual,7124.0,Petrol,145.0,55.4,1.2,49.0,4,False
32971,Hyundai,i30,2013,Manual,58000.0,Diesel,,76.3,1.6,43.0,0,False
64929,Opel,Insignia,2015,Manual,51985.0,Diesel,95.0,76.3,2.0,54.0,1,False
49477,Skoda,Fabia,2017,Manual,15750.0,Petrol,145.0,60.1,1.2,30.0,4,False
13558,BMW,3 Series,2016,Automatic,50318.0,Diesel,95.0,67.3,2.0,56.0,4,False
12491,BMW,1 Series,2016,Automatic,24592.0,Diesel,95.0,68.9,2.0,69.0,4,False
16822,Ford,Fiesta,2017,Manual,15060.0,Petrol,125.0,54.3,1.2,33.0,0,False
204,Audi,Q3,2019,Manual,4000.0,Diesel,145.0,42.8,2.0,52.0,0,False
2551,Audi,A5,2016,Manual,9141.0,Diesel,95.0,64.2,2.0,36.0,1,False
30638,Ford,Focus,2023,Manual,22058.0,Petrol,145.0,57.7,1.0,45.0,1,False
15801,Ford,Focus,2023,Manual,66990.0,,95.0,74.3,1.5,35.0,1,False
781,Audi,,0,Manual,3833.0,Diesel,145.0,51.4,1.6,47.0,0,False
57927,Opel,Corsa,2018,Manual,5305.0,Petrol,145.0,55.4,1.4,88.0,0,False
34517,Hyundai,i10,2022,Manual,16709.0,Petrol,145.0,60.1,1.0,51.0,3,False
48386,Skoda,Octavia,2015,Manual,,Diesel,95.0,70.6,2.0,61.0,4,False
54356,Toyota,Yaris,2019,Manual,6043.0,Petrol,145.0,47.9,1.5,70.0,0,False
2895,Audi,Q8,2019,Semi-Auto,2423.0,Diesel,145.0,33.6,3.0,56.0,3,True
40801,Mercedes,GLE-Class,2017,Automatic,7698.0,Diesel,150.0,42.8,3.0,78.0,1,False
61422,Opel,Astra,2019,Manual,48.0,Diesel,175.0,72.4,1.6,86.0,1,False
30295,Ford,Focus,2017,Manual,32746.0,Diesel,,,1.5,75.0,0,False
36631,Mercedes,C-Class,2017,Automatic,31371.0,Diesel,95.0,65.7,2.1,41.0,4,False
67100,VW,Golf,2016,Manual,31375.0,Diesel,95.0,67.3,2.0,84.0,0,False
68820,VW,Tiguan,2019,Semi-Auto,12581.0,Petrol,145.0,31.0,2.0,39.0,4,False
75667,VW,Passat,2015,,69941.0,Diesel,95.0,67.3,2.0,30.0,3,False
15141,Ford,Focus,2017,Manual,16282.0,Petrol,145.0,41.5,2.0,98.0,2,False
5893,Audi,A6,2019,Semi-Auto,5000.0,Petrol,145.0,34.9,2.0,88.0,0,True
60453,Opel,Mokka,2015,Manual,34997.0,Petrol,175.0,40.9,1.6,33.0,2,False
48311,Skoda,Scala,2019,Manual,3653.0,Petrol,150.0,50.4,,61.0,0,False
43361,Mercedes,B-Class,2017,Manual,18683.0,Diesel,145.0,68.9,1.5,49.0,2,False
44257,Mercedes,C-Class,2019,Semi-Auto,,Diesel,,,2.0,42.0,0,False
38319,Mercedes,C-Class,2013,Manual,58654.0,Diesel,160.0,52.3,2.1,61.0,4,True
2886,Audi,Q3,2017,Manual,25737.0,Petrol,125.0,51.4,1.4,45.0,1,False
17211,Ford,Focus,2019,Manual,15305.0,Diesel,145.0,62.8,2.0,86.0,2,False
21237,Ford,Focus,2019,Manual,9488.0,Petrol,,,2.3,94.0,3,True
7262,Audi,Q5,2017,Semi-Auto,16540.0,Petrol,150.0,34.0,3.0,53.0,2,False
62824,Opel,Mokka X,2018,Semi-Auto,11803.0,,145.0,43.5,1.4,61.0,0,False
15142,Ford,S-Max,2017,Manual,36384.0,Petrol,160.0,43.5,1.5,36.0,0,False
25191,Ford,Focus,2019,Manual,1010.0,Diesel,145.0,80.7,1.5,37.0,0,False
41904,Mercedes,C-Class,0,Automatic,31942.0,Petrol,,,2.0,87.0,1,False
13815,BMW,X5,2019,Semi-Auto,10.0,Diesel,150.0,37.7,3.0,96.0,4,False
37083,Mercedes,C-Class,2015,Automatic,40961.0,Diesel,125.0,60.1,2.1,83.0,1,False
6230,Audi,A5,2018,Manual,20832.0,Petrol,150.0,47.1,2.0,3.11529529741442,0,False
73500,VW,Golf,2014,Manual,42339.0,Diesel,95.0,68.9,1.6,48.0,3,False
16901,Ford,Fiesta,2016,Manual,,Petrol,95.0,65.7,1.0,99.0,20,True
22420,Ford,Fiesta,2013,Manual,69941.0,Petrol,95.0,54.3,1.2,49.0,2,False
70990,VW,Golf,2015,Manual,50584.0,Diesel,95.0,67.3,2.9857934392613865,80.0,1,False
53079,Toyota,Yaris,2016,Automatic,6880.0,Hybrid,95.0,86.0,1.5,65.0,0,False
25876,Ford,Focus,2017,Manual,38389.0,Petrol,145.0,61.4,1.0,60.0,4,False
71493,VW,Golf,2017,Manual,42551.0,Diesel,95.0,74.3,1.6,94.0,4,False
68929,VW,Golf,2019,Automatic,9227.0,Diesel,145.0,53.3,2.0,79.0,1,False
26282,Ford,Focus,2019,Manual,17998.0,Petrol,,,1.0,51.0,3,False
14309,BMW,2 Series,2019,Manual,123.0,Petrol,145.0,52.3,1.5,85.0,0,False
71825,VW,Touran,2016,Manual,54400.0,Diesel,95.0,64.2,1.6,40.0,4,False
15015,Ford,Focus,2019,Manual,10998.0,Petrol,145.0,60.1,1.0,56.0,2,False
48246,Skoda,Superb,2017,Manual,32379.0,Diesel,95.0,67.3,2.0,87.0,4,False
21384,Ford,Focus,2019,Manual,3735.0,Petrol,145.0,48.7,1.0,69.0,0,False
54651,Toyota,Yaris,2017,Manual,6677.0,Petrol,150.0,56.5,,95.0,2,False
28240,Ford,Fiesta,2016,Manual,30900.0,Petrol,95.0,65.7,1.0,86.0,4,False
15539,Ford,Focus,2017,Manual,42956.0,Petrol,95.0,60.1,1.0,40.0,3,False
47984,Skoda,Octavia,2018,Semi-Auto,6460.0,Petrol,150.0,54.3,1.5,66.0,4,False
38808,Mercedes,A-Class,2015,Manual,49695.0,Diesel,95.0,70.6,1.5,70.0,3,False
1374,Audi,A4,2016,Manual,30595.0,Diesel,95.0,70.6,2.0,40.0,4,False
9505,BMW,3 Series,2010,Automatic,69941.0,Diesel,145.0,53.3,2.0,31.0,0,False
49390,Skoda,Octavia,2019,Semi-Auto,4500.0,Diesel,145.0,64.2,2.0,44.0,3,False
74328,VW,Caddy Maxi Life,2019,Semi-Auto,8481.0,Diesel,150.0,54.3,2.0,42.0,2,False
57496,Opel,Corsa,2019,Manual,8968.0,Petrol,145.0,43.5,1.4,83.0,2,False
6935,Audi,A3,2018,Manual,16380.0,Diesel,145.0,67.3,1.6,68.0,2,False
36371,Mercedes,C-Class,2019,Semi-Auto,5927.0,Petrol,145.0,44.1,2.0,78.0,0,False
29187,Ford,Focus,2017,Manual,11134.0,Diesel,,,2.0,52.0,0,False
21441,Ford,Kuga,2018,Manual,7239.0,Diesel,150.0,64.2,1.5,67.0,1,False
2237,Audi,Q5,2016,Automatic,47614.0,Diesel,175.0,48.7,2.0,95.0,0,False
55338,Toyota,Land Cruiser,2019,Semi-Auto,11619.0,Diesel,145.0,30.1,2.8,75.0,1,False
54522,Toyota,Yaris,2016,Automatic,28110.0,Hybrid,95.0,86.0,1.5,55.0,4,False
9165,BMW,1 Series,2020,Semi-Auto,1560.0,Diesel,150.0,48.7,2.0,88.0,0,False
33145,Hyundai,i10,2018,Manual,14062.0,Petrol,145.0,60.1,1.0,84.0,3,False
257,Audi,Q5,2019,Semi-Auto,21400.0,Petrol,145.0,34.0,3.0,59.0,1,False
31218,Ford,Focus,2018,Manual,10150.0,Petrol,,,1.0,40.0,2,False
6122,Audi,Q5,2019,Semi-Auto,,Diesel,145.0,38.2,2.0,59.0,4,True
54205,Toyota,AYGO,2019,Manual,2865.0,Petrol,145.0,57.7,,67.0,1,False
35973,Mercedes,C-Class,2016,Automatic,34972.0,Diesel,95.0,65.7,1.6,69.0,0,False
8294,BMW,2 Series,2019,Manual,1000.0,Petrol,145.0,52.3,1.5,30.0,2,False
49388,Skoda,Superb,2019,Automatic,15.0,Petrol,150.0,38.2,2.0,65.0,1,False
24580,Ford,Fiesta,2018,Manual,12126.0,Petrol,145.0,56.5,1.0,47.0,2,False
16454,Ford,Fiesta,2018,Manual,30418.0,Petrol,145.0,62.8,1.0,58.0,4,False
33350,Hyundai,i20,2018,Manual,22875.0,Petrol,145.0,58.9,1.2,38.0,4,False
49704,Skoda,Yeti Outdoor,2016,Manual,61440.0,Diesel,145.0,55.4,,54.0,3,False
